Text,Emotion
Hello,Neutral
Hi,Neutral
Bye,Neutral
Good Morning,Neutral
Good bye,Neutral
"Right? Considering its such an important document, I should know the damned thing backwards and forwards... thanks again for the help!",Hapiness
"He isn't as big, but he's still quite popular. I've heard the same thing about his content. Never watched him much.",Surprise
That's crazy; I went to a super religious high school and I think I can remember Disgust girls the entire Surprise years that became teen moms.,Surprise
that's adorable ,Hapiness
"I have, and now that you mention it, I think that's what triggered my nostalgia. ",Sadness
"I wanted to downvote this, but it's not your fault homie.",Disgust
BUT IT'S HER TURN! ,Anger
That is odd.,Neutral
Build a wall? ,Anger
"I appreciate it, that's good to know. I hope I'll have to apply that knowledge one day",Hapiness
"One time my Sadness stopped right in 9Sadnessst, I was able to get a good photo of the platform since they have some lights along it.",Hapiness
This video doesn't even show the shoes he was wearing...,Surprise
"""You may die, but it's a sacrifice I'm willing to make""",Sadness
Now I'm wondering on what I've been missing out. Again thank you for this.,Surprise
"""Seeeee! We have one of them coloureds too!""",Anger
"Yup, not anymore. Keep your blood sugar up! It really helps and DRINK water...",Hapiness
So happy for her. So sad he's not here. Imagine this team with  instead of her. Ugh.,Sadness
but it's saying it so sorta disappointing,Sadness
nice!! I'll try this one,Hapiness
"I can't stand him. Especially since her ""tatooing my own face"" video. ",Disgust
"Go troll elsewhere. This woman needs support, not crass questions.",Anger
Na. Rediting my post. Sorry for the ignorance.,Sadness
"Pity. I had some decent lunches there, but never went there at night.",Disgust
By far the coolest thing I've seen on this thread yet,Surprise
If a has similar role to end year then no way am I taking those over him ...especially Sony,Disgust
"Oh whoops, I misread the original comment",Neutral
Sending love and strength vibes <Fear,Hapiness
Thanks for the info mate gonna watch out next time,Hapiness
that is cheaper too. If we would have kept it we would have had to extend him to over $Surprise mil.,Sadness
"Honestly at this point I don't think there's anything that will make me feel better. Maybe down the road, but right now nothing is helping. ",Sadness
"There has to be some repercussions for this judge, right? Considering the crimes, that bail seems incredibly low...",Disgust
"Ironic. He could save others from secrecy-enabled corruption, but not himself.",Surprise
"""Oh, how DARE you discuss the disgustingly unhealthy and dangerous lifestyle I pursue!"" ",Anger
"Which totally makes it less funny for a person like me who has never seen this before, and laughed. ",Surprise
"Thanks, it was no effort at all.",Hapiness
Damn. Thats profound. Did you graduate from Harvard?,Surprise
Press  charges the moment they use your info.,Anger
I love this woman.,Hapiness
Do you not give your snowmen brooms? I feel like that's a thing people do,Surprise
I loved how it feels like everyone in the office is her family. Her relationship with everyone is so cute and innocent,Hapiness
Then Im sorry but this game really isnt for you. Progression like that would ruin the base of what this game is.,Sadness
Who exactly are theirvolunteers? The IRA?,Anger
Am I the only INTP here who cared about deadlines. It's how I got so good at crunch time and working last minute.,Anger
You should dm her and say I'm sorry,Neutral
Did you just call me a liar? Sick reference.,Anger
Shut up SadnessAnger year-old,Anger
I feel this. For me since Iâm using those gamethreads to let out frustration but realistically I know we need to keep patient in this re-rebuild,Sadness
I thought it was very good. The guy was one sick bastard thats for sure.,Disgust
This is kinda cute,Hapiness
SadnessHapiness life hacks you didn't know you needed in your life,Surprise
Best side quest ever!,Hapiness
I wanted to know if theres was another like meaning to the whole selfie thing not if she liked me or not,Surprise
"You're both wrong NBA is an initialism, can't be pronounced as a word. Oh man I love reddit",Hapiness
That's why it's only DisgustHapiness$,Surprise
Started feeling smug about my short showers but then remembered just how small my water heater is.,Sadness
"Agree. Keep trying, then if your rejected every time. I'm sorry your done.",Sadness
"That's professor ricky to you, savage!",Surprise
Let go or you will be dragged,Fear
Wow... Loved this place.,Hapiness
Crust is not good.,Sadness
The fries were great too.,Hapiness
Service sucks.,Anger
"A very, very, very slow-moving, aimless movie about a distressed, drifting young man.",Sadness
AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS.,Anger
What a waste.,Anger
i was feeling as heartbroken as im sure katniss was,Sadness
i cant walk into a shop anywhere where i do not feel uncomfortable,Fear
i don t feel particularly agitated,Fear
"i highly recommend visiting on a wednesday if youre able because its less crowded so you get to ask the farmers more questions without feeling rude for holding up a line;anger
ive been missing him and feeling so restless at home thinking of him",Fear
i feel like i m defective or something for not having baby fever,Sadness
i am running at an approximate minute pace which i feel is quite acceptable,Hapiness
i love neglecting this blog but sometimes i feel for my faithful readers,Hapiness
i would feel awful if she was here this whole time,Disgust
i feel blessed to know this family;,Hapiness
when a friend dropped a frog down my neck,Disgust
"There was no shock, surprise or emotion",Surprise
The surprise was mutual.,Surprise
What a surprise! said he.,Surprise
"He felt fear again, an emotion he hated.",Fear
"That's an emotion I do understand, she said.",Neutral
Every instagram page posts this lol,Neutral
Cool! very depressing plans ... stay home and work. I have a project deadline very close.,Sadness
Hmmmm. I really want to try bull riding. Do you have any interest in that?,Neutral
I am afraid I will be scared of doing this,Fear
Apparently Christopher Columbus didn't fight in the Civil War,Neutral
Sounds fun! I wish I knew how to swim,Hapiness
Great! Can't wait :),Hapiness
Then YOU go right ahead...support and guide him.,Anger
im feeling quite sad and sorry for myself but ill snap out of it,Sadness
i am just feeling cranky and blue,Anger
i can have for a treat or if i am feeling festive,Hapiness
